Code,AirportName,City,Country,latitude,longitude,geoloc,city_sky,bigger_city
LMP,LAMPEDUSA,LAMPEDUSA,ITALY,35.498,12.618,"[35.498000000000005, 12.618]",LAMP-sky,FALSE
PNL,PANTELLERIA,PANTELLERIA,ITALY,36.816,11.969,"[36.816, 11.969000000000001]",PANT-sky,FALSE
PMO,PALERMO,PALERMO,ITALY,38.176,13.091,"[38.176, 13.091]",PALE-sky,TRUE
PMO,BOCCADIFALCO,PALERMO,ITALY,38.111,13.313,"[38.111, 13.312999999999999]",PALE-sky,TRUE
REG,REGGIO CALABRIA,REGGIO CALABRIA,ITALY,38.071,15.651,"[38.071, 15.651]",REGG-sky,FALSE
TPS,TRAPANI BIRGI,TRAPANI,ITALY,37.913,12.488,"[37.913000000000004, 12.488]",TRAP-sky,FALSE
AHO,ALGHERO,ALGHERO,ITALY,40.632,8.291,"[40.632, 8.291]",ALGS-sky,FALSE
CAG,ELMAS,CAGLIARI,ITALY,39.251,9.054,"[39.251, 9.054]",CAGL-sky,FALSE
OLB,OLBIA COSTA SMERALDA,OLBIA,ITALY,40.899,9.518,"[40.899, 9.517999999999999]",OLBI-sky,FALSE
MXP,MALPENSA,MILANO,ITALY,45.631,8.728,"[45.631, 8.728]",MILA-sky,FALSE
BGY,BERGAMO ORIO AL SERIO,BERGAMO,ITALY,45.674,9.704,"[45.674, 9.704]",MILA-sky,FALSE
TRN,TORINO,TORINO,ITALY,45.201,7.649,"[45.201, 7.649]",TURI-sky,TRUE
GOA,GENOVA SESTRI,GENOA,ITALY,44.412,8.842,"[44.412, 8.842]",GENO-sky,TRUE
LIN,LINATE,MILAN,ITALY,45.445,9.277,"[45.445, 9.277000000000001]",MILA-sky,TRUE
PMF,PARMA,PARMA,ITALY,44.824,10.296,"[44.824, 10.296]",PARM-sky,FALSE
CUF,LEVALDIGI,LEVALDIGI,ITALY,44.546,7.622,"[44.54600000000001, 7.622000000000001]",CUNE-sky,FALSE
BLQ,BOLOGNA,BOLOGNA,ITALY,44.534,11.29,"[44.534, 11.29]",BOLO-sky,TRUE
TSF,TREVISO,TREVISO,ITALY,45.649,12.195,"[45.648999999999994, 12.195]",VENI-sky,FALSE
TRS,RONCHI DEI LEGIONARI,RONCHI DE LEGIONARI,ITALY,45.828,13.466,"[45.828, 13.466]",TRIE-sky,FALSE
RMI,RIMINI,RIMINI,ITALY,44.02,12.612,"[44.02, 12.612]",RIMI-sky,FALSE
VRN,VILLAFRANCA,VILLAFRANCA,ITALY,45.396,10.888,"[45.396, 10.888]",VERO-sky,FALSE
VCE,VENEZIA TESSERA,VENICE,ITALY,45.505,12.352,"[45.505, 12.352]",VENI-sky,FALSE
SAY,AMPUGNANO,SIENA,ITALY,43.257,11.254,"[43.257, 11.254000000000001]",SIEN-sky,FALSE
CIA,CIAMPINO,ROME,ITALY,41.799,12.595,"[41.799, 12.595]",ROME-sky,TRUE
FCO,FIUMICINO,ROME,ITALY,41.813,12.253,"[41.813, 12.253]",ROME-sky,TRUE
